feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,delta_30s_0,delta_30s_1,delta_30s_2,delta_30s_3,delta_30s_4,delta_30s_5,delta_30s_6,delta_60s_0,delta_60s_1,delta_60s_2,delta_60s_3,delta_60s_4,delta_60s_5,delta_60s_6,downstream_affected,label
25.1571,26.0307,0.449,5.334,0.3097,434.6521,324.189,7.4493,-5.4663,0.08,1.1174,0.1318,97.0461,27.3537,-6.8962,-4.2316,0.1381,-2.5021,-0.0121,79.7841,159.6204,1,network
39.1329,40.1998,0.681,2.0355,4.036,3905.2835,7017.1971,9.7402,-4.6472,0.1333,0.2242,-1.1328,-991.8909,-1001.9348,-2.4349,-18.1228,-0.1625,-0.3465,-0.6016,-1176.4165,3412.9342,0,timing
100.744,70.1413,0.2496,1.1964,0.9366,7653.4367,8917.161,20.8485,-2.5972,0.0242,0.1984,0.3045,781.8786,2404.4955,-34.5042,-19.6432,0.1572,-0.2114,0.2799,3779.4111,-1388.7106,0,resource
12.8563,13.8445,0.0118,0.0624,0,4006.5147,3872.3008,0.0184,0.0137,-0.0292,-0.0121,-0.0019,0.0128,-0.0084,-0.0412,-0.0335,-0.0153,0.0432,0.0465,-0.0061,-0.0326,0,normal
42.8803,36.4045,0.1003,0.4113,0.0254,2660.3463,2811.2945,0.3666,2.921,0.0189,-0.0396,-0.0079,65.1763,226.4056,10.7659,3.4479,-0.1037,-0.0192,-0.0069,408.0787,385.7781,0,cost
20.0828,21.8867,0.3679,3.0766,0,280.7488,334.1874,3.7425,-1.5593,0.039,-0.0786,-0.0245,-49.0888,48.1915,-2.0439,-0.5532,0.2702,-0.9287,-0.0685,91.7037,-25.0325,1,network
10.2386,15.7423,0.004,0.0775,0,4082.4633,3899.7176,0.0216,0.0179,-0.0184,0.0098,-0.003,-0.0229,-0.0038,0.0172,-0.0215,0.0183,-0.0148,-0.0114,-0.0494,-0.0076,0,normal
24.0168,35.8985,0.152,0.5863,1.5087,8925.0163,6327.3936,-2.9512,1.851,-0.0573,0.1794,0.2893,-523.0047,-637.2901,6.0504,-1.9159,-0.0494,0.1925,0.4024,153.6617,-644.0292,0,pod_crash
41.0484,36.8847,0.3258,0.5715,2.6947,3759.8624,4725.3007,3.5784,-2.596,-0.0148,-0.1233,0.7872,836.4884,-191.755,-0.5674,14.4349,-0.0028,-0.0515,-0.3171,-1177.8957,594.5789,1,pod_crash
15.131,20.8159,0.0071,0.1099,0,4529.8665,3604.5232,0.007,-0.016,0.0503,0.0143,-0.0205,0.0346,0.023,-0.0254,0.0226,-0.0077,0.025,0.0145,-0.018,-0.0218,0,normal
15.5355,24.2189,0.0263,0.0658,0,3707.3704,5841.5983,-0.0338,-0.0139,-0.0277,-0.004,-0.0119,-0.0007,0.0144,0.0197,0.0122,-0.0305,0.0262,0.0169,0.0405,0.0085,0,normal
10.9332,25.023,0.5526,3.4988,0.1444,547.29,1169.7954,-0.978,0.1906,-0.0357,-0.9645,-0.1145,-30.0079,-12.6972,-0.5528,6.816,0.1138,-1.187,0.0307,-132.0105,-558.7751,1,network
47.8114,40.5779,0.661,1.4,1.6496,5326.5451,4169.3605,13.569,5.1229,-0.1491,0.1744,-0.235,301.0693,929.4643,8.4418,-7.9716,0.0416,-0.1805,-0.1454,-2274.6365,1336.1752,0,timing
60.3848,22.3419,0.1031,0.5075,0,3051.3423,4480.4413,-6.8133,-0.0433,0.0148,0.1178,-0.0561,668.6466,1142.073,0.5823,-9.1567,0.0002,0.1706,-0.0825,-291.0568,-1577.3566,0,cost
10.4293,14.4689,0.022,0.0718,0,4205.4396,2615.2888,-0.0208,-0.0119,0.0579,-0.0146,0.0045,-0.0295,0.0099,-0.0136,-0.0248,-0.0066,0.0234,0.0101,-0.0323,0.0788,0,normal
48.6517,48.299,0.1171,0.5887,0,1072.8565,1609.4691,-0.7489,3.6139,-0.0071,0.2112,0.024,-52.3761,-63.1849,-7.6424,0.8493,0.1154,-0.2161,-0.0233,-73.3888,9.7884,0,cost
90.8765,91.9806,0.2086,0.7706,0.4294,3643.935,5905.562,-13.7375,6.6035,0.0948,0.0837,0.1227,-251.8183,741.6572,-16.535,-26.1323,0.0434,0.1287,0.1812,274.339,1218.2167,0,resource
5.4747,28.639,0.4814,0.4086,4.0121,5750.9547,2081.1635,-0.776,-7.5036,0.0955,0.0315,0.527,-400.1658,-321.3742,0.6088,13.4959,-0.136,0.2897,1.6118,792.6432,-305.3378,0,pod_crash
102.2841,82.784,0.3091,1.6827,0.3386,4408.3508,7834.2612,25.3564,3.883,0.0027,-0.3828,0.1017,837.4008,295.5566,22.465,21.9553,0.0789,0.5874,-0.1123,2060.4919,-3521.3572,0,resource
23.1106,31.9196,0.5215,0.7851,4.1196,6585.3601,3889.6807,-2.8836,3.7213,-0.1981,-0.136,1.0803,1536.3229,515.5594,1.5502,14.9177,0.4109,0.2314,-1.0349,-1433.8994,-1638.3347,1,pod_crash
26.3195,15.2491,0.2625,5.2788,0.1431,290.2795,446.7541,3.0382,2.1852,-0.0525,0.5526,-0.0427,-28.5922,15.7375,7.5788,7.4298,0.0436,2.042,0.0563,97.0796,-84.7642,0,network
25.3423,58.5475,0.2367,1.2084,1.6696,2054.6277,3968.2655,5.5939,2.7203,0.0028,0.2689,-0.0204,73.1485,746.0646,4.8485,16.7016,0.2301,-0.2891,-0.2514,1026.9935,239.3307,0,timing
23.0042,40.0393,0.4027,0.9404,2.3547,8676.765,3814.1699,3.1986,2.2464,0.015,-0.1999,-0.2795,-2568.8306,-395.4368,5.5528,-11.9316,0.0746,-0.1391,1.2031,-3966.6661,1292.2985,0,pod_crash
4.6346,21.5131,0.0126,0.0876,0,1135.3734,2606.8407,0.0424,0.0109,0.0095,0.0365,0.0118,0.0247,0.0039,0.0451,0.0202,-0.0031,-0.0279,-0.0031,0.033,0.0634,0,normal
33.5592,28.0179,0.4692,1.6821,1.9433,2792.2959,3869.3627,-5.4675,-7.7268,-0.1272,-0.1152,0.2137,695.6518,259.2766,-10.7737,-3.2907,0.0175,-0.2353,-0.7461,-809.4874,1157.2129,0,timing
14.2186,37.8127,0.4018,6.0977,0,702.338,91.6648,3.7029,2.782,0.0838,1.0489,0.0043,156.0607,-0.4578,1.9692,-2.6413,0.1944,-1.1399,0.0305,283.3451,-4.5415,1,network
37.1047,38.0347,0.5496,1.7595,1.8953,2905.2156,5174.8248,-7.402,-5.8164,-0.1272,-0.3947,0.2104,559.6976,262.6145,-3.3043,-1.3218,0.1174,-0.0119,0.5158,-283.7862,1712.415,0,timing
29.6353,31.8573,0.4033,0.2205,2.9845,5538.8928,6045.2826,-1.8655,-0.3372,-0.0352,0.0747,0.3799,219.1453,978.8969,7.3439,2.2486,-0.0726,0.0953,-1.1334,2296.5007,267.0848,0,pod_crash
14.6563,24.9766,0.7032,0.5137,3.0792,2985.1224,5142.4061,2.5937,-6.4467,-0.1051,-0.1133,-0.5194,811.2316,-657.5937,1.4114,8.506,-0.3191,-0.1733,-0.3256,-1382.5738,1574.6025,0,pod_crash
44.9268,37.5768,0.1118,0.2801,0.1159,3290.0662,3933.6016,-7.7409,8.4116,0.0089,0.1043,-0.0663,205.5025,-1060.4614,-20.613,-14.2194,-0.0283,-0.2402,0.0755,-1495.4193,-1422.2722,0,cost
22.9367,10.8459,0.3814,2.4488,0.4308,345.7255,33.1787,-4.9318,-2.5571,-0.1196,-0.3733,0.0134,-8.6695,-1.6013,-7.3844,-3.5685,0.079,-0.1886,-0.1658,-85.4413,12.0515,1,network
30.9266,30.2665,0.6718,0.4405,0.8815,7173.6096,6121.5688,-6.5238,8.6698,-0.1436,-0.0895,0.0533,-1269.3956,-551.3186,-14.8707,3.5622,-0.1493,-0.0096,-0.3343,1134.0535,-1252.2681,1,pod_crash
27.9054,27.2318,0.3892,3.1167,0.4305,676.3201,214.3284,-0.8815,-7.6972,0.1196,0.6575,0.0437,181.4204,53.9026,-1.7194,1.0154,0.0744,-0.2242,0.1538,-254.089,-93.6328,0,network
42.4846,41.2003,0.0009,0.41,0.1784,3893.014,442.0681,-12.0539,-9.8906,0.028,0.0473,-0.0882,-137.8057,-69.0592,3.7315,20.4447,-0.0493,-0.1847,-0.03,-935.7062,-88.0181,0,cost
41.7729,34.66,0.043,0.2739,0.049,2330.4992,3356.8996,-1.3881,0.5598,-0.0741,-0.0085,0.0158,-245.1574,-823.1902,-16.5151,13.5005,0.0667,-0.1377,0.0063,441.2591,-408.21,0,cost
74.7902,81.2153,0.2252,1.549,0.5707,8241.9717,4784.2309,-10.5217,16.4127,-0.0338,-0.4158,0.0854,881.5281,1403.7678,5.4755,-15.4442,-0.048,-0.556,-0.2579,-14.2808,-1617.3708,0,resource
44.717,35.9089,0.891,0.446,2.8874,8526.1288,5027.781,2.0472,-5.0668,-0.1661,0.0365,0.2116,2412.5497,956.3702,3.6129,15.3783,-0.0088,-0.2825,0.0442,3545.4319,-117.2736,0,pod_crash
8.4707,13.4748,0.0115,0.0658,0,2532.2581,3766.6326,0.0252,0.0018,0.0275,-0.0236,-0.0051,-0.0467,0.0204,0.002,-0.0207,0.0023,0.0015,-0.0241,0.0205,-0.0035,0,normal
83.8359,80.448,0.318,1.1493,0.676,7558.8577,6369.8193,24.2885,-4.2385,0.0403,0.1126,0.0617,-1142.2979,-1836.6506,36.4925,6.798,0.2364,0.1861,0.0215,2071.2071,1570.7721,0,resource
84.4903,77.3574,0.2284,1.0755,0.6974,7300.463,6179.869,-18.1888,-2.5758,-0.0827,0.1858,-0.0809,2141.6848,70.1494,32.6709,-5.6868,-0.0704,0.084,-0.2468,347.5883,-2571.9821,0,resource
61.045,0.3813,0.4715,2.2028,1.9603,4974.3484,5742.2929,-14.7585,-0.0064,0.0573,0.2534,-0.0459,-1257.5467,1098.4764,12.8276,0.2307,0.1963,0.7218,-0.8155,2139.7148,-2489.2889,0,timing
77.362,38.0902,0.0801,0.3689,0.2447,2516.9885,5207.9367,-4.4389,-5.1681,0.0262,-0.015,-0.1456,449.3704,464.2026,-29.2075,-13.8291,-0.1704,0.0925,-0.0883,-807.818,-194.7638,0,cost
14.6234,30.6852,0.4988,4.1141,0.3125,477.4666,91.8649,-0.2486,1.2631,-0.007,0.1165,0.1069,23.4506,-3.408,3.9757,0.6533,-0.0763,1.5231,-0.1356,-194.3276,-40.0988,0,network
3.7207,25.3455,0.5307,6.7757,0.2235,359.6079,0,0.7501,5.0074,-0.0015,-1.8062,0.0762,23.9957,0.0433,-0.1759,-9.8627,-0.0429,-2.678,-0.0221,-157.4401,-0.1276,0,network
15.2367,14.517,0.4995,0.566,2.5835,6650.5335,0,0.6825,-0.6367,-0.0669,-0.0878,-0.1396,-809.7743,-0.0751,-3.9421,0.5509,-0.1328,0.3377,1.0112,1248.3511,-0.1124,1,pod_crash
50.0466,46.2125,0.4606,0.4312,2.4166,4812.1281,5780.4821,-0.7056,-4.1608,0.0739,-0.1242,0.4646,-712.9424,-881.3674,-3.3087,3.1134,0.1643,-0.0116,0.8423,401.0044,2851.7293,1,pod_crash
28.1881,21.465,0.3922,2.2664,0,631.7586,508.6068,-6.3385,2.4555,0.0919,0.0349,0.008,-135.6228,143.4047,12.6124,6.6754,-0.0989,0.4006,0.0759,260.5673,69.455,0,network
22.7523,15.9953,0.0199,0.0777,0,3201.7834,5418.7477,-0.0289,-0.0011,0.0109,0.0057,0.0255,0.011,-0.0273,0.093,0.0905,-0.0336,-0.0137,-0.0196,-0.006,-0.0631,0,normal
5.8531,40.1895,0.264,1.107,1.7626,2311.3671,4438.105,1.687,2.9153,0.1291,-0.1477,-0.3758,-381.593,622.1775,-1.9813,-14.8724,0.0883,0.0141,-0.2111,-22.9819,1075.333,0,timing
102.5482,70.7737,0.1973,1.6353,0.3464,6896.352,2234.3121,17.7242,-17.4486,0.017,-0.1161,0.1045,-1486.0831,132.4905,-25.4276,1.2191,0.1069,0.4221,0.254,392.8944,-579.071,0,resource
12.8209,14.7509,0.013,0.0388,0,3330.1617,3617.6988,0.0013,-0.0045,0.0066,0.034,0.0279,-0.0137,-0.0266,0.0615,0.0266,-0.0017,-0.0061,0.0107,0.0019,0.0141,0,normal
93.3921,77.8814,0.3004,0.9207,0.3046,5818.4643,6813.4895,-16.7189,-14.4005,0.0437,0.111,0.078,550.9094,-746.1482,5.607,-33.5956,0.0387,0.0819,-0.0478,1891.7132,-464.8358,0,resource
21.0586,31.09,0.349,1.817,0.443,423.8728,894.453,-3.0023,-5.3472,0.0113,0.1681,-0.0647,-29.8298,-191.9272,-7.2316,-9.5166,0.2519,0.2737,-0.12,196.1231,-296.5853,1,network
48.9776,47.5674,0.0356,0.2667,0.0397,3738.681,2400.9073,-6.8602,-13.6514,0.0096,-0.1187,0.0441,-649.7828,229.4186,4.4441,20.1658,-0.0263,-0.157,0.0188,486.4187,-707.7639,0,cost
104.4954,80.5037,0.1822,1.3993,0.1029,6280.6681,7876.4888,-19.5384,-19.6119,-0.0232,-0.2856,-0.0164,1878.3529,2186.2698,7.7217,-23.1203,0.1268,0.1974,-0.0056,1846.7971,-1515.7736,0,resource
27.9449,62.1113,0.6689,3.1968,2.1452,4956.4262,4746.9424,-0.2606,8.6913,-0.109,-0.2016,-0.0846,582.7652,822.8963,-0.0413,6.9898,0.0043,-0.3769,0.147,713.5396,-406.7605,0,timing
37.4148,34.9792,0.1619,0.3011,0.1675,4164.7915,2829.2354,-0.3445,-8.009,-0.0176,0.0887,-0.1198,63.635,-393.8359,-4.5523,6.8571,0.1729,-0.1742,0.1088,-349.5916,962.3653,0,cost
13.6565,17.1239,0.0036,0.0655,0,3510.5274,3125.4795,0.0085,0.0013,-0.0151,0.0074,-0.0156,-0.0256,0.0002,0.0066,0.0252,0.0392,0.0938,-0.0303,0.0144,-0.0238,0,normal
27.3268,43.3847,0.6956,0.6883,1.7369,1810.3421,2320.0477,-3.1847,-0.4423,-0.0967,-0.047,-0.1333,20.2227,484.8404,11.5006,-1.4188,-0.1415,-0.061,-0.5506,-403.7285,-479.9824,0,pod_crash
55.9729,24.0029,0.0094,0.4218,0,6370.7522,2164.4487,11.3937,4.7395,-0.0166,0.1008,-0.0749,-1460.5025,95.2706,19.1466,8.2127,-0.0054,0.1279,-0.0523,584.882,-827.7778,0,cost
55.326,23.7875,0.0407,0.5815,0.2121,4694.2655,1933.153,-7.6993,0.445,0.0459,-0.002,-0.0759,1095.5048,-130.0575,7.5822,10.7891,-0.02,0.1934,-0.0069,-1305.5137,331.7946,0,cost
53.1849,55.6108,0.3841,0.9747,0,2792.3029,5382.5684,-0.5832,-10.1772,-0.1389,-0.2262,0.0089,279.283,143.3981,3.7677,20.1911,-0.0073,0.3672,0.1059,-609.1255,172.6804,0,timing
14.4999,20.3262,0.0291,0.0284,0,4819.6914,6206.8451,-0.0183,-0.015,-0.0035,-0.0106,0.0068,0.0385,0.0189,0.0009,0.0093,-0.0349,-0.0083,0.0191,0.017,-0.0392,0,normal
46.5527,39.7186,0.3422,0.3,0,5969.2432,3751.6305,6.9653,9.125,-0.0069,0.0289,0.0234,-705.2604,810.3895,15.99,-16.1708,0.0977,0.1949,0.0261,2612.7101,90.9973,1,pod_crash
0,36.3189,0.4426,0.5936,2.6105,5805.6053,3859.3382,0.0186,-6.5127,0.1523,0.2177,0.6918,-316.2474,244.4952,0.0295,-9.2044,0.2074,0.1031,-0.4727,-374.7556,-532.8222,0,pod_crash
8.9786,51.0496,0.3912,0.5621,1.5895,7450.5952,5376.9335,-1.2732,-12.4446,-0.0383,-0.0582,-0.3215,129.2779,1021.0198,-1.298,-11.8113,0.2354,-0.033,0.4071,-337.3328,-1140.6118,1,pod_crash
90.168,81.3449,0.1481,1.1778,0.6398,4940.4309,7420.5425,-1.1817,5.7546,-0.0737,-0.3684,-0.0135,846.4339,-627.3167,17.684,-7.0149,0.1279,0.0855,-0.1509,1024.3707,-1914.1424,0,resource
34.7816,34.694,0.4029,0.5264,2.7152,7725.2394,5248.7339,8.153,-0.4921,-0.0753,-0.0026,-0.3972,160.8215,-672.8654,15.827,14.632,0.0233,0.0529,0.1191,2561.683,1716.8323,1,pod_crash
15.9166,29.4998,0.4136,0.0973,1.6963,7875.776,11937.3372,-0.6014,-3.8006,-0.0321,0.0411,-0.4867,-1058.0836,1506.9702,-7.6929,12.4433,0.0527,0.1907,-0.2544,1112.0225,-970.8958,1,pod_crash
26.4288,14.2677,0.0869,0.2375,1.924,2591.6679,1401.8068,5.4695,0.2477,0.0689,0.1145,-0.3413,575.6696,-155.0443,-0.3417,-5.6486,0.0333,-0.1069,0.093,-114.938,-263.8891,0,pod_crash
28.2468,25.0775,0.3227,3.8014,0.2895,878.7455,889.8059,-0.3285,-4.0455,-0.0024,-0.7794,-0.0534,-84.2751,178.1694,9.3081,-10.575,-0.0447,-0.5706,-0.0358,-297.6843,175.8806,1,network
16.7273,37.8765,0.6112,0.3552,2.2709,1576.3405,5094.374,1.9936,-1.2376,-0.0402,-0.0226,0.4199,-122.8801,1347.1475,-3.3217,0.8656,0.0634,-0.1786,-0.4127,569.5548,2260.7707,1,pod_crash
65.989,41.5412,0.547,2.0086,2.4042,7614.5928,3191.6267,18.5257,8.6865,-0.1141,-0.2589,-0.3174,605.3317,-119.6943,18.6266,-2.3112,0.0753,-0.6076,-0.1719,-1084.7304,-878.653,0,timing
36.3074,30.6424,0.08,0.4787,0.039,3031.9834,2317.3558,10.7006,-2.2943,-0.0043,0.0094,0.0566,-37.3717,554.1198,-9.2192,-5.0556,-0.0481,0.1272,0.1252,1004.4967,-263.0847,0,cost
37.5118,32.9649,0.1569,0.3534,0.2386,2893.2729,2738.7394,10.9717,3.1685,-0.0051,0.2008,-0.0087,-65.0481,-136.9065,7.1046,6.9382,-0.0101,-0.0617,0.0122,1071.3927,8.9793,0,cost
20.4512,26.1198,0.0223,0.0666,0,3080.5304,4019.7027,-0.0002,0.0069,0.0013,-0.0268,0.0117,-0.0081,-0.0283,0.0343,0.0282,0.0344,-0.0077,-0.0437,-0.051,0.0312,0,normal
98.6866,76.4726,0.1289,1.1308,0.3394,6667.4982,4850.7163,1.9477,-18.0343,-0.0453,0.1696,-0.1309,1828.9064,625.9647,10.9442,-27.0522,-0.0873,0.1511,0.0832,2617.6899,1246.5058,0,resource
15.0903,20.1806,0.0094,0.0355,0,2216.2289,2452.6255,-0.0144,-0.0095,0.0135,-0.0272,-0.0205,0.0146,0.0086,0.0323,-0.0193,-0.015,-0.0577,0.0033,0.0366,-0.0038,0,normal
9.1793,19.6966,0.0242,0.0519,0,3336.7853,2805.2504,-0.013,-0.0088,0.0259,0.0325,-0.0381,-0.0306,-0.0117,-0.0183,-0.0281,-0.018,-0.0011,0.0166,0.008,-0.0329,0,normal
39.4529,9.6842,0.4316,0.3914,2.0671,5720.2653,642.689,-4.2634,-2.4416,-0.1699,0.1293,0.5767,-196.0939,164.9159,4.8279,-4.0136,-0.1265,-0.0516,-0.2456,121.9584,5.7475,0,timing
35.8692,31.1819,0.3885,0.4235,2.6856,3433.2082,3956.9485,6.4415,-9.2011,-0.0979,-0.076,0.1572,-979.0161,1070.0357,11.8821,-2.7173,0.0422,-0.2227,-0.9151,1687.4438,-380.7303,0,pod_crash
11.9518,39.3147,0.3579,3.5351,0,545.1381,497.3017,-0.4655,-2.0309,0.0411,0.9473,-0.0457,59.3156,83.8723,4.7464,0.4236,0.206,-0.9441,-0.1493,57.7538,14.3906,1,network
44.2641,47.9539,0.7608,2.4582,1.0542,2182.5893,1524.4932,-12.9179,-10.4177,-0.0116,-0.5501,0.0424,488.3827,349.4186,5.3952,-9.7836,0.3418,-0.3945,0.0912,176.7214,-695.0458,0,timing
7.6948,21.2763,0.0146,0.0393,0,4899.2644,4729.2591,0.045,-0.0215,-0.0294,-0.0451,0.0073,-0.0128,-0.005,-0.0057,-0.03,0.0087,0.0112,-0.0576,-0.0172,0.0072,0,normal
22.982,33.3287,0.1817,0.845,2.8738,4236.6964,4607.0481,-2.9601,-8.6499,-0.0019,-0.0173,-0.4071,416.1801,1299.4307,-0.2297,-8.0356,0.0543,0.4053,-0.389,-1869.7761,-104.512,1,pod_crash
63.2221,40.9613,0.0659,0.9544,0.0379,2079.3733,2199.1347,-2.3257,2.6499,-0.0501,0.2453,0.0477,-616.7627,63.6927,-17.2125,12.274,-0.0242,-0.1102,-0.0947,-428.5806,-440.9251,0,cost
24.1425,44.7209,0.5876,2.9825,0.3733,6200.7157,6129.6036,-1.3525,11.1766,0.1686,0.4545,-0.1509,-1695.3935,303.3869,-7.5303,5.1112,0.215,-0.0723,-0.2042,-1640.7679,-1911.5106,0,timing
79.5712,49.0732,0.1906,0.4967,0.0417,3304.6003,2485.9371,5.7274,-0.9043,0.0454,-0.0784,0.032,877.7927,231.0264,6.2474,13.0578,-0.1226,0.1727,-0.1275,-879.7799,-260.3466,0,cost
12.2879,31.0219,0.0096,0.1071,0,4458.3794,4428.0618,0.0205,0.041,0.0242,-0.0143,-0.0149,-0.0255,0.0072,-0.0332,-0.0284,0.0205,0.0144,0.0289,-0.0321,0.0634,0,normal
49.371,22.4315,0.4074,1.8046,1.7901,5708.4014,3962.5938,-3.4077,2.45,0.0957,-0.4798,-0.524,1071.9437,-950.1043,4.1862,3.0521,0.1913,-0.4595,-0.5189,837.0384,1165.281,0,timing
43.8526,77.6063,0.5262,0.9456,2.183,5777.3168,6461.0969,0.6663,10.4826,0.0336,0.1595,-0.5893,-352.3492,-1147.6626,-20.2642,31.3971,0.0999,-0.2787,0.1844,1266.593,660.3849,0,timing
49.8133,37.6703,0.7918,1.2892,1.3699,4898.3782,6846.6199,-14.0822,-0.5178,-0.0262,0.1064,-0.0193,-282.3776,-1470.0557,21.9833,6.8626,-0.0256,0.3567,0.6044,-1130.0249,1626.5223,0,timing
98.6253,70.7386,0.1778,0.2792,0.2183,6307.0939,6380.2626,22.1157,7.5867,0.0475,-0.0883,-0.1113,-1437.5371,1709.3287,-48.0264,6.7947,-0.0759,0.1092,-0.0592,1105.9129,1121.0183,0,resource
48.8978,48.0211,0.1141,0.144,0,4765.3609,2264.9954,12.319,-4.2734,-0.0271,-0.0282,0.0166,1386.6051,113.8703,17.5838,-17.1971,-0.0237,-0.0777,-0.0433,19.5415,-458.2365,0,cost
54.9076,45.7204,0.5565,1.3165,1.9486,3750.6113,1405.0677,-1.4386,7.9914,-0.1586,-0.0772,0.0819,978.6593,-26.0384,-12.9906,-2.4306,-0.0908,0.3006,0.6332,1848.1973,639.1651,0,timing
28.0513,24.7709,0.3128,0.5604,1.8902,7183.1635,4667.4442,-0.2547,-7.2042,0.033,-0.0591,0.2289,449.0428,-248.5257,0.5601,-10.1822,0.0597,-0.3271,0.7487,-924.7963,709.0896,0,pod_crash
42.6485,43.3065,0.1728,0.3784,0.1609,2236.1626,4253.8267,-12.0322,-8.6055,-0.0802,-0.0909,-0.0217,-668.2439,961.0628,4.7119,20.2767,-0.061,0.1818,-0.2122,806.0126,-1613.882,0,cost
8.6912,21.8919,0.6286,0.5861,2.9501,2638.1392,7266.2828,-1.7716,6.1424,-0.1548,-0.0353,0.7112,453.3265,-2115.6834,-0.0063,-0.9742,-0.0321,0.1672,-1.0747,-1139.362,-2611.8835,0,pod_crash
95.8999,68.4712,0.2898,0.7926,1.1834,1870.9329,6124.9353,20.3629,-7.6812,0.1156,0.1247,-0.2721,235.1462,839.13,2.8764,25.5778,-0.1319,-0.3196,-0.3118,721.3858,-1114.6248,0,resource
63.4524,74.8404,0.2255,1.3366,0.0739,7228.103,4354.991,-15.9132,9.593,0.0931,0.3124,0.0512,1071.9702,384.8577,25.3697,-2.8906,0.0701,0.5221,0.0389,-1192.1292,542.099,0,resource
39.0252,17.3161,0.3871,0.2111,2.1093,1742.3928,5815.0913,10.2125,1.1565,0.0322,0.0669,0.0606,107.7206,593.0812,-16.0905,4.5773,0.0409,-0.0314,-0.7389,-189.29,1489.4297,0,pod_crash
23.8721,26.0259,0.493,0.4039,2.4148,6800.6652,4694.4809,-2.6218,0.0735,-0.1236,-0.0519,0.113,366.4202,-762.8827,10.2383,-3.699,0.0754,0.0514,-1.0341,1565.9268,2098.7003,1,pod_crash
95.9862,78.6008,0.1762,0.64,0.5292,4921.1298,4665.5282,-25.5656,19.7552,0.0139,0.0264,-0.0302,-252.7614,-545.0759,-0.7743,-33.6467,0.0222,0.0559,-0.0481,925.528,1004.6141,0,resource
81.823,70.6938,0.3572,0.9455,0.874,4143.6666,3584.605,-23.4845,19.0154,0.0185,0.0872,0.0508,127.0615,1040.2955,-34.1775,-17.0438,-0.0364,0.0586,0.3594,409.0073,-1561.8101,0,resource
19.8734,19.783,0.4758,4.0319,0.5102,52.9318,876.8942,0.8589,4.6215,-0.0442,-0.761,0.0942,-7.3303,156.9748,0.5058,6.9373,0.2391,-1.9442,0.1269,-24.6324,-389.8483,0,network
14.1873,27.0839,0.2278,4.1565,0,790.0919,671.8162,3.1107,-7.4632,0.0383,-0.2719,-0.0066,-29.4618,51.8497,-6.3268,1.4013,-0.0006,-2.0064,-0.0276,357.1531,-314.8458,0,network
33.9699,29.0292,0.4126,0.7039,0,278.0172,730.5014,3.4431,-4.9295,0.0723,0.2201,-0.0693,3.2774,17.898,-15.6,-1.5289,-0.0039,-0.068,0.0992,-93.1905,-140.2947,0,network
40.3565,30.4506,0.0789,0.6444,0.0549,3618.005,1853.8507,-3.5126,-0.8821,0.0058,0.0508,-0.0412,907.5888,-431.0499,15.7041,-6.1791,0.1797,0.2338,-0.0047,884.7128,-716.1232,0,cost
86.6148,95.0708,0.0903,1.094,0.3208,4728.0091,11790.2843,15.6489,-23.4399,0.0324,-0.2689,-0.0165,-904.5969,-2849.4618,37.0951,4.4447,0.0223,0.4675,0.0529,-2186.8979,-2003.0029,0,resource
33.4449,34.0281,0.5123,3.0389,1.8834,3901.2757,3304.2603,-3.7793,-6.614,-0.1689,0.2645,0.1021,-979.3655,934.3586,-10.706,-14.24,-0.1697,0.3647,0.1063,650.9783,-1103.1914,0,timing
38.7725,22.2343,0.4223,2.4165,1.2817,3667.4563,3661.9473,5.2852,0.1138,0.034,-0.1221,0.3524,-870.5287,-485.6612,-13.639,-4.7896,-0.1147,0.7219,-0.3338,1178.7784,1379.3152,0,timing
26.3722,13.2018,0.4024,3.6464,0.155,407.6462,497.2004,6.02,-3.4357,0.1096,0.6647,-0.0039,-108.3569,-125.8829,12.8052,-1.763,-0.0687,-0.2915,-0.077,-39.531,158.802,0,network
31.481,22.1377,0.52,4.0436,0.2199,106.4124,0,-0.7327,-3.3163,0.0014,-0.406,0.0389,14.7435,-0.0293,-1.1687,4.9736,-0.0471,0.748,-0.0604,-52.9869,0.0075,0,network
91.3682,79.895,0.2783,0.2496,0.3937,4001.9145,5802.0934,14.1132,-0.6321,-0.0,-0.0419,-0.0398,915.5355,-274.0448,35.8364,-24.1699,-0.08,-0.1304,-0.2342,634.383,1401.9507,0,resource
86.4763,86.9418,0.2537,2.3802,0.3294,5267.1595,6203.9171,-19.8929,8.4651,-0.0287,-0.3494,0.0205,-213.1253,255.1913,-5.8809,0.1478,0.0493,-0.8003,-0.0348,2600.3699,298.5969,0,resource
81.3007,91.7682,0.3595,0.5893,0.4461,9852.9858,5463.8779,18.9438,11.8508,0.0624,0.0168,0.1381,2746.7803,-401.3843,-27.6726,-44.8303,0.0286,0.1273,-0.0832,-4913.0147,680.5272,0,resource
94.3515,88.5825,0.0763,1.304,0,5175.5848,5968.2967,11.2383,3.405,0.0494,0.0011,0.0219,-876.64,951.5931,14.0962,-20.3441,0.0701,-0.3996,0.0385,-196.1135,-1654.0809,0,resource
